Item,Relation,Attribute,TRUE
Sunfish,Can,Move,1
Sunfish,Can,Swim,1
Sunfish,Has,Skin,1
Sunfish,Has,Scales,1
Sunfish,Has,Gills,1
Salmon,ISA,Animal,1
Salmon,ISA,Fish,1
Salmon,ISA,Salmon,1
Salmon,Is,Big,1
Salmon,Is,Living,1
Salmon,Is,Red,1
Salmon,Can,Grow,1
Salmon,Can,Move,1
Salmon,Can,Swim,1
Salmon,Has,Skin,1
Salmon,Has,Scales,1
Salmon,Has,Gills,1
Flounder,ISA,Animal,1
Flounder,ISA,Fish,1
Flounder,ISA,Flounder,1
Flounder,Is,Living,1
Flounder,Can,Grow,1
Flounder,Can,Move,1
Flounder,Can,Swim,1
Flounder,Has,Skin,1
Flounder,Has,Scales,1
Flounder,Has,Gills,1
Cod,ISA,Animal,1
Cod,ISA,Fish,1
Cod,ISA,Cod,1
Cod,Is,Living,1
Cod,Is,White,1
Cod,Can,Grow,1
Cod,Can,Move,1
Cod,Can,Swim,1
Cod,Has,Skin,1
Cod,Has,Scales,1
Cod,Has,Gills,1
Cat,ISA,Animal,1
Cat,ISA,Cat,1
Cat,Is,Pretty,1
Cat,Is,Living,1
Cat,Can,Grow,1
Cat,Can,Move,1
Cat,Can,Walk,1
Cat,Has,Skin,1
Cat,Has,Legs,1
Cat,Has,Fur,1
Dog,ISA,Animal,1
Dog,ISA,Dog,1
Dog,Is,Big,1
Dog,Is,Living,1
Dog,Can,Grow,1
Dog,Can,Move,1
Dog,Can,Walk,1
Dog,Has,Skin,1
Dog,Has,Legs,1
Dog,Has,Fur,1
Mouse,ISA,Animal,1
Mouse,ISA,Mouse,1
Mouse,Is,Living,1
Mouse,Can,Grow,1
Mouse,Can,Move,1
Mouse,Can,Walk,1
Mouse,Has,Skin,1
Mouse,Has,Legs,1
Mouse,Has,Fur,1
Goat,ISA,Animal,1
Goat,ISA,Goat,1
Goat,Is,Big,1
Goat,Is,Living,1
Goat,Can,Grow,1
Goat,Can,Move,1
Goat,Can,Walk,1
Goat,Has,Skin,1
Goat,Has,Legs,1
Goat,Has,Fur,1
Pig,ISA,Animal,1
Pig,ISA,Pig,1
Pig,Is,Big,1
Pig,Is,Living,1
Pig,Can,Grow,1
Pig,Can,Move,1
Pig,Can,Walk,1
Pig,Has,Skin,1
Pig,Has,Legs,1
